Sub_L [mm];Sub_W [mm];Sub_H [mm];R_out [mm];Ring_W [mm];Gap_W [mm];S [mm];t [mm];MS_W [mm];Freq [GHz];S(1,1) (Real);S(1,1) (Imag);S(1,2) (Real);S(1,2) (Imag);S(2,1) (Real);S(2,1) (Imag);S(2,2) (Real);S(2,2) (Imag)
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.0;0.16935535466347712;0.008522458472703824;-0.04791978570242369;-0.9691341231594182;-0.04791978570243092;-0.9691341231594188;0.1672314319201541;-0.011694699851124854
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.01;0.17012829425147608;0.006089246924587443;-0.06397818321959557;-0.9677801866971016;-0.0639781832196016;-0.9677801866971001;0.1676488152293276;-0.014796532208659377
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.02;0.17084771727285997;0.003633891945943089;-0.08000539776355078;-0.966166619743296;-0.08000539776355574;-0.9661666197432943;0.16798758177092282;-0.017921981341287016
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.03;0.171513261995753;0.001157890648952027;-0.09599744001383546;-0.964293968922156;-0.09599744001383935;-0.9642939689221538;0.16824707067599393;-0.021068993722416936
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.04;0.17212461034584992;-0.0013372581410650898;-0.11195033054967435;-0.9621628381995263;-0.11195033054967722;-0.9621628381995232;0.1684266734732599;-0.02423550239702832
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.05;0.17268148781871653;-0.003850055175225414;-0.12786010038861545;-0.959773888495503;-0.1278601003886174;-0.9597738884954994;0.16852583424689896;-0.027419428340305176
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.06;0.17318366335340077;-0.006379002062886903;-0.14372279151512635;-0.9571278373115035;-0.14372279151512718;-0.9571278373114988;0.16854404975842446;-0.030618681811100456
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.07;0.17363094916776328;-0.008922602544777804;-0.15953445739994226;-0.954225458371767;-0.15953445739994224;-0.9542254583717622;0.16848086953305016;-0.03383116369934853
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.08;0.17402320055594445;-0.011479363756554332;-0.17529116351096313;-0.9510675812791879;-0.1752911635109624;-0.9510675812791829;0.16833589591094567;-0.03705476686655271
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.09;0.17436031564841428;-0.014047797481899042;-0.19098898781652168;-0.9476550911853472;-0.19098898781651985;-0.9476550911853406;0.16810878406383645;-0.04028737747850202
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.1;0.17464223513505592;-0.016626421394275916;-0.20662402128183366;-0.9439889284745833;-0.2066240212818311;-0.9439889284745767;0.1677992419774088;-0.04352687632938004
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.11;0.17486894195176567;-0.019213760286467287;-0.22219236835946848;-0.940070088461943;-0.22219236835946518;-0.9400700884619361;0.1674070304000032;-0.046771140156450786
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.12;0.17504046093105857;-0.021808347287028965;-0.23769014747466133;-0.9358996211047775;-0.23769014747465678;-0.9358996211047687;0.16693196275810715;-0.05001804294452461
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.13;0.17515685841718884;-0.024408725062803064;-0.2531134915062884;-0.931478630727771;-0.25311349150628354;-0.9314786307277636;0.1663739050391672;-0.05326545721942052
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.14;0.17521824184631388;-0.02701344700664355;-0.26845854826434457;-0.9268082757611447;-0.2684585482643389;-0.9268082757611366;0.16573277564227076;-0.05651125532966916
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.15;0.1752247592922387;-0.029621078409515333;-0.2837214809647187;-0.9218897684917264;-0.2837214809647127;-0.9218897684917188;0.1650085451972531;-0.059753310715706824
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.16;0.17517659897830468;-0.03223019761614047;-0.29889846870210096;-0.9167243748266082;-0.2988984687020938;-0.9167243748265989;0.1642012363528106;-0.06298949916583961
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.17;0.17507398875598817;-0.03483939716337639;-0.313985706921796;-0.9113134140690151;-0.3139857069217883;-0.9113134140690057;0.16331092353421897;-0.06621770005827123
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.18;0.17491719555080315;-0.03744728490051835;-0.3289794078912531;-0.9056582587060619;-0.3289794078912449;-0.9056582587060523;0.16233773267125737;-0.06943579758850689
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.19;0.17470652477611062;-0.04005248509073719;-0.34387580117207084;-0.8997603342079677;-0.343875801172062;-0.8997603342079582;0.16128184089697276;-0.07264168198146313
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.2;0.17444231971544363;-0.04265363949286595;-0.3586711340932381;-0.8936211188383415;-0.35867113409322904;-0.8936211188383324;0.16014347621791672;-0.07583325068763926
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.21;0.1741249608739958;-0.04524940842277308;-0.37336167222635824;-0.8872421434750806;-0.3733616722263485;-0.8872421434750708;0.1589229171565097;-0.07900840956271328
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.22;0.1737548652999082;-0.04783847179356001;-0.3879436998635659;-0.8806249914414284;-0.38794369986355554;-0.8806249914414184;0.15762049236620201;-0.08216507402995893
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.23;0.17333248587601785;-0.050419530133844356;-0.40241352049884793;-0.8737712983466972;-0.402413520498837;-0.8737712983466868;0.15623658022010062;-0.08530117022488387
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.24;0.17285831058274828;-0.052991305583397895;-0.4167674573134428;-0.8666827519361455;-0.4167674573134315;-0.8666827519361353;0.15477160837376291;-0.0884146361215224
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.25;0.1723328617328295;-0.055552542865422896;-0.4310018536659708;-0.8593610919494823;-0.43100185366595967;-0.8593610919494724;0.15322605330285477;-0.09150342263982973
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.26;0.17175669517854728;-0.05810201023476559;-0.4451130735879349;-0.8518081099874335;-0.44511307358792274;-0.8518081099874232;0.15160043981638074;-0.09456549473363612
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.27;0.17113039949224748;-0.0606385004013808;-0.45909750228518054;-0.8440256493858088;-0.459097502285168;-0.8440256493857987;0.14989534054622586;-0.09759883245865844
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.28;0.1704545951208201;-0.06316083142837225;-0.4729515466459172;-0.8360156050964656;-0.47295154664590416;-0.836015605096455;0.14811137541373087;-0.10060143202006681
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.29;0.1697299335149126;-0.06566784760395349;-0.4866716357558266;-0.827779923574563;-0.4866716357558134;-0.8277799235745527;0.14624921107404854;-0.10357130679913154
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.3;0.16895709623363367;-0.06815842028668659;-0.5002542214207936;-0.819320602671478;-0.5002542214207799;-0.8193206026714679;0.14430956033904765;-0.10650648835850163
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.31;0.16813679402551354;-0.07063144872337207;-0.5136957786977506;-0.8106396915327352;-0.5136957786977377;-0.8106396915327261;0.14229318157951673;-0.10940502742567611
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.32;0.16726976588651907;-0.07308586083898047;-0.5269928064340914;-0.8017392905002942;-0.5269928064340774;-0.8017392905002845;0.14020087810745036;-0.11226499485425437
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.33;0.16635677809591545;-0.07552061399803191;-0.5401418278160833;-0.7926215510185197;-0.5401418278160691;-0.7926215510185096;0.1380334975392018;-0.11508448256257467
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.34;0.1653986232307932;-0.07793469573684854;-0.5531393909266852;-0.7832886755431478;-0.5531393909266703;-0.7832886755431377;0.13579193114029273;-0.11786160444936433
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.35;0.16439611916008895;-0.08032712446611925;-0.5659820693131287;-0.7737429174525585;-0.5659820693131137;-0.7737429174525489;0.13347711315268854;-0.12059449728605696
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.36;0.16335010801893743;-0.08269695014323725;-0.5786664625645935;-0.76398658096064;-0.5786664625645782;-0.7639865809606298;0.13109002010533863;-0.1232813215854373
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.37;0.1622614551642202;-0.08504325491388826;-0.5911891969002843;-0.7540220210305296;-0.5911891969002696;-0.754022021030521;0.1286316701088169;-0.12592026244631477
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.38;0.1611310481121638;-0.0873651537223855;-0.6035469257681723;-0.7438516432885274;-0.6035469257681577;-0.7438516432885188;0.12610312213487337;-0.12850953037393126
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.39;0.15995979545888486;-0.08966179489026718;-0.6157363304546228;-0.7334779039374238;-0.6157363304546076;-0.7334779039374147;0.123505475281743;-0.13104736207584589
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.4;0.15874862578476545;-0.09193236066269388;-0.6277541207051237;-0.7229033096685402;-0.6277541207051084;-0.7229033096685312;0.1208398680260489;-0.13353202123304866
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.41;0.15749848654357157;-0.09417606772220195;-0.6395970353562702;-0.7121304175717306;-0.6395970353562549;-0.7121304175717219;0.11810747746215154;-0.13596179924609003
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.42;0.15621034293723599;-0.09639216766939075;-0.6512618429791257;-0.7011618350426155;-0.6512618429791103;-0.701161835042607;0.1153095185297981;-0.13833501595602604
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.43;0.1548851767772297;-0.09857994747014143;-0.6627453425340721;-0.6900002196863063;-0.6627453425340567;-0.6900002196862982;0.11244724323093733;-0.14065002034001448
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.44;0.15352398533347805;-0.10073872986899378;-0.6740443640371943;-0.6786482792168905;-0.6740443640371782;-0.6786482792168819;0.10952193983656812;-0.14290519118140552
0.04;0.025;0.0008;0.0035;0.0006;0.0002;0.0007;3.5000000000000004e-05;0.0014;1.45;0.15212778017177045;-0.10286787376832017;-0.6851557692382352;-0.6671087713519446;-0.685155769238219;-0.6671087713519362;0.10653493208449477;-0.145098937714215
